2024-05-22 23:44:59 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2024-05-22 23:45:00 INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-05-22 23:45:00 WARN  o.hibernate.orm.connections.pooling - HHH10001002: Using built-in connection pool (not intended for production use)
2024-05-22 23:45:00 INFO  o.hibernate.orm.connections.pooling - HHH10001005: Loaded JDBC driver class: org.postgresql.Driver
2024-05-22 23:45:00 INFO  o.hibernate.orm.connections.pooling - HHH10001012: Connecting with JDBC URL [jdbc:postgresql://localhost:5432/person]
2024-05-22 23:45:00 INFO  o.hibernate.orm.connections.pooling - HHH10001001: Connection properties: {password=****, user=postgres}
2024-05-22 23:45:00 INFO  o.hibernate.orm.connections.pooling - HHH10001003: Autocommit mode: false
2024-05-22 23:45:00 INFO  o.hibernate.orm.connections.pooling - HHH10001115: Connection pool size: 20 (min=1)
2024-05-22 23:45:03 INFO  o.hibernate.orm.connections.access - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@7a1a3468] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2024-05-22 23:45:03 INFO  PersonService - Saving or updating person: Person(id=null, firstName=Shamim, lastName=Samangi, username=shamim1234, age=10)
2024-05-22 23:45:04 INFO  PersonService - Saving or updating person: Person(id=null, firstName=Nazila, lastName=Rostami, username=rostami1380, age=5)
2024-05-22 23:45:04 INFO  PersonRepository - Save or update the person: Person(id=null, firstName=Nazila, lastName=Rostami, username=rostami1380, age=5)
2024-05-22 23:45:04 INFO  PersonRepository - Persist  person: Person(id=4, firstName=Nazila, lastName=Rostami, username=rostami1380, age=5)
2024-05-22 23:45:04 INFO  PersonService - Person saved or updated successfully: Person(id=4, firstName=Nazila, lastName=Rostami, username=rostami1380, age=5)
2024-05-22 23:45:04 INFO  PersonService - Saving or updating person: Person(id=null, firstName=Sara, lastName=Rahmani, username=rahmani1366, age=20)
2024-05-22 23:45:04 INFO  PersonRepository - Save or update the person: Person(id=null, firstName=Sara, lastName=Rahmani, username=rahmani1366, age=20)
2024-05-22 23:45:04 INFO  PersonRepository - Persist  person: Person(id=5, firstName=Sara, lastName=Rahmani, username=rahmani1366, age=20)
2024-05-22 23:45:04 INFO  PersonService - Person saved or updated successfully: Person(id=5, firstName=Sara, lastName=Rahmani, username=rahmani1366, age=20)
2024-05-22 23:45:04 INFO  PersonService - Saving or updating person: Person(id=null, firstName=Ali, lastName=Qanbari, username=qanbari1312, age=50)
2024-05-22 23:45:04 INFO  PersonRepository - Save or update the person: Person(id=null, firstName=Ali, lastName=Qanbari, username=qanbari1312, age=50)
2024-05-22 23:45:04 INFO  PersonRepository - Persist  person: Person(id=6, firstName=Ali, lastName=Qanbari, username=qanbari1312, age=50)
2024-05-22 23:45:04 INFO  PersonService - Person saved or updated successfully: Person(id=6, firstName=Ali, lastName=Qanbari, username=qanbari1312, age=50)
2024-05-22 23:45:04 INFO  PersonService - Saving or updating person: Person(id=null, firstName=saeed, lastName=Pormohammad, username=pori1355, age=48)
2024-05-22 23:45:04 INFO  PersonRepository - Save or update the person: Person(id=null, firstName=saeed, lastName=Pormohammad, username=pori1355, age=48)
2024-05-22 23:45:04 INFO  PersonRepository - Persist  person: Person(id=7, firstName=saeed, lastName=Pormohammad, username=pori1355, age=48)
2024-05-22 23:45:04 INFO  PersonService - Person saved or updated successfully: Person(id=7, firstName=saeed, lastName=Pormohammad, username=pori1355, age=48)
2024-05-22 23:45:04 INFO  PersonService - Saving or updating person: Person(id=null, firstName=Mozhde, lastName=Saedi, username=arasto123, age=11)
2024-05-22 23:45:04 INFO  PersonRepository - Save or update the person: Person(id=null, firstName=Mozhde, lastName=Saedi, username=arasto123, age=11)
2024-05-22 23:45:04 INFO  PersonRepository - Persist  person: Person(id=8, firstName=Mozhde, lastName=Saedi, username=arasto123, age=11)
2024-05-22 23:45:04 INFO  PersonService - Person saved or updated successfully: Person(id=8, firstName=Mozhde, lastName=Saedi, username=arasto123, age=11)
2024-05-22 23:45:04 INFO  PersonService - Saving or updating person: Person(id=null, firstName=Karim, lastName=Pedari, username=pedari8967, age=72)
2024-05-22 23:45:04 INFO  PersonRepository - Save or update the person: Person(id=null, firstName=Karim, lastName=Pedari, username=pedari8967, age=72)
2024-05-22 23:45:04 INFO  PersonRepository - Persist  person: Person(id=9, firstName=Karim, lastName=Pedari, username=pedari8967, age=72)
2024-05-22 23:45:04 INFO  PersonService - Person saved or updated successfully: Person(id=9, firstName=Karim, lastName=Pedari, username=pedari8967, age=72)
2024-05-22 23:45:04 INFO  PersonService - Saving or updating person: Person(id=null, firstName=Javad, lastName=Razavi, username=javad1350, age=53)
2024-05-22 23:45:04 INFO  PersonRepository - Save or update the person: Person(id=null, firstName=Javad, lastName=Razavi, username=javad1350, age=53)
2024-05-22 23:45:04 INFO  PersonRepository - Persist  person: Person(id=10, firstName=Javad, lastName=Razavi, username=javad1350, age=53)
2024-05-22 23:45:04 INFO  PersonService - Person saved or updated successfully: Person(id=10, firstName=Javad, lastName=Razavi, username=javad1350, age=53)
